"1. Function of the process item - function of the system, sub-system, part element or process",Specification of process item,2. Function of the process step and product characteristic,No.,Requirement / Specification of the process step,Filter code,3. Function of the process work element and process characteristic,Specification of the process work element,1. Failure effect (FE) to next higher level element and/or end user,Severity (S) of FE,Severity (S max) of FE,2. Failure mode (FM) of the focus element,3. Failure cause (FC) of the work element,Current preventive control (PC) for FC,Occurrence (O1) of FC,Current detection control (DC) for FC or FM,Detection (D1) of FC/FM,PFMEA AP1,Action bundle (date),Recommended action,P/D,Name of responsible person,Target completion date,Status,Action taken with pointer to evidence,P/D.1,Completion date,Severity (S),Occurrence (O2),Detection (D2),PFMEA AP2,subject,fmea_id,fmea_type,package,location,SME_Remark,Index,fmea_idx_id
"Function for Effects
[Z8K00018355]",,20 Input,,,,"Operator/ Technician will load leadframe to the leadframe input stack loader
[Material_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Man_Z8K00018355]",,"IFX: Yield loss
[Z8K00018355]",7,,Foreign particle,"Incoming material particle (LF)
[Material_Z8K00018355]",(P) LF input blower,2,(D) Safe release buyoff,4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,10,Z8K00018355_10
"Function for Effects
[Z8K00018355]",,20 Input,,,,"Operator/ Technician will load leadframe to the leadframe input stack loader
[Material_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Man_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]","8.0
7.0",8,Bottom lead scratches,"Indexer not level reference to clamper
[Method_Z8K00018355]",(P) Preventive maintainance,2,(D) Safe release buyoff per machine conversion/ setup,4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,11,Z8K00018355_11
"Function for Effects
[Z8K00018355]",,20 Input,,,,"Operator/ Technician will load leadframe to the leadframe input stack loader
[Material_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Man_Z8K00018355]",,"IFX: Yield loss
[Z8K00018355]",7,7,Exposed copper bottom pad,"Bottom island pad expose/scratches due to friction between bottom island and top indexer block
[Material_Z8K00018355]",(P) Preventive maintainance,2,(D) Safe release buyoff per machine conversion/ setup,4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,12,Z8K00018355_12
"Function for Effects
[Z8K00018355]",,20 Input,,,,"Operator/ Technician will load leadframe to the leadframe input stack loader
[Material_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Man_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]","8.0
7.0",8,Mixed Device,"Wrong Leadframe Used
[Man_Z8K00018355]",(P / D) LF barcode scan,2,(D) Leadframe orientation sensor stop machine,2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,13,Z8K00018355_13
"Function for Effects
[Z8K00018355]",,20 Input,,,,"Operator/ Technician will load leadframe to the leadframe input stack loader
[Material_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Man_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]","8.0
7.0",8,Wrong Lead Frame Orientation,"Leadframe loading on opposite direction
[Man_Z8K00018355]",(P) Procedural controls OJTI Z8K00009023,3,(D) MCS sensor dectection and auto stop,2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,14,Z8K00018355_14
"Function for Effects
[Z8K00018355]",,20 Input,,,,"Operator/ Technician will load leadframe to the leadframe input stack loader
[Material_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Man_Z8K00018355]",,"IFX: Yield loss
[Z8K00018355]",7,7,Damaged Frame,"Leadframe drops during transferring to indexing track due to vacuum malfunction, weak, leakage or vacuum cup offset
[Machine_Z8K00018355]","(P) Procedural controls

(P) Use customized suction cup and shank

(P) Preventive maintenance-Yearly / 6 monthly (Z8K00027466)

(P) Damage frame will be scrapped",3,"(D) 100% Visual Inspection

(D) Machine will prompt errror if leadframe drop 7002 (AD8312), 60073 (AD838)

(D) Production Surveillance",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,15,Z8K00018355_15
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,1.1.d,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Machine_Z8K00018355]
To dispense die attach material onto the pad  APA - Z8K00056760
[Material_Z8K00018355]
f7: To dispense die attach material onto the pad  APA - Z8K00056760
[Machine_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]","8.0
7.0",8,Insufficient die attach material/Glue coverage,"Clogged nozzle showerhead
[Machine_Z8K00018355]",(P) Defined Showerhead cleaning lifespan,2,"(D) Safe release buyoff per machine conversion/ setup

(D) 100% post-bond detection

(D) Production Surveillance",3,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,16,Z8K00018355_16
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Insufficient die attach material/Glue coverage,"Dispenser Z-height sensor faulty
[Machine_Z8K00018355]",(P) Preventive Maintenance (Z8K00053784) Half-Yearly,2,"(D) 100% post-bond detection

(D) Production Surveillance",3,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,17,Z8K00018355_17
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Insufficient die attach material/Glue coverage,"Leadframe bouncing
[Machine_Z8K00018355]",(P) Preventive maintainance,2,"(D) 100% post-bond detection

(D) DAV for selected devices (Camstar route controlled)",4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,18,Z8K00018355_18
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Insufficient die attach material/Glue coverage,"Bubble inside die attach material syringe
[Material_Z8K00018355]",(P) Glue purge,2,"(D) 100% post-bond detection

(D) DAV for selected devices (Camstar route controlled)",4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,19,Z8K00018355_19
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Insufficient die attach material/Glue coverage,"Showerhead damage
[Machine_Z8K00018355]",(P) Shower head cap to protect showerhead nozzle,2,"(D) Safe release buyoff per machine conversion/ setup

(D) 100% post-bond detection

(D) DAV for selected devices (Camstar route controlled)",4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,20,Z8K00018355_20
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Insufficient die attach material/Glue coverage,"Wrong shower head used
[Method_Z8K00018355]",(P) Showerhead identification by device,2,"(D)Camstar will block lot to track in and prompt error

(D) 100% post-bond detection

(D) DAV for selected devices (Camstar route controlled)",4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,21,Z8K00018355_21
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Insufficient die attach material/Glue coverage,"Low dispense pulse time
[Method_Z8K00018355]",(P) RMS recipe control,2,"(D) 100% post-bond detection

(D) Safe release buyoff per machine conversion/ setup

(D) DAV for selected devices (Camstar route controlled)",4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,22,Z8K00018355_22
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Insufficient die attach material/Glue coverage,"High dispense vacuum setting
[Method_Z8K00018355]",(P) Locking mechanism on vacuum setting.,2,"(D) 100% post-bond detection

(D) Safe release buyoff per machine conversion/ setup

(D) DAV for selected devices (Camstar route controlled)",4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,23,Z8K00018355_23
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Insufficient die attach material/Glue coverage,"Inconsistent Die Attach Material  dispensing due to dispensing unit failure
[Machine_Z8K00018355]","(P) Procedural controls

(P) Preventive maintenance-Yearly / 6 monthly (Z8K00027466)

(P) Machine setup / conversion",2,"(D) DAV for selected devices (Camstar route controlled)

(D) 100% Visual Inspection

(D) Production Surveillance

(D) Machine auto stop, 8050, 8051, 8053, 8054, 8055, 8056, 8057, 8058 (AD8312), 110652, 110653, 110280, 110281, 110288, (AD838)

(D) 100% Electrical testing",4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,24,Z8K00018355_24
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Insufficient die attach material/Glue coverage,"Pressure leakage from dispensing due to lock spring worn out
[Machine_Z8K00018355]","'(P) Procedural controls

(P) Preventive maintenance-Yearly / 6 monthly (Z8K00027466)

(P) Machine setup / conversion

110652, 110653, 110280, 110281,110288, (AD838)",2,"(D) Machine auto stop, 8050, 8051, 8053, 8054, 8055, 8056, 8057, 8058 (AD8312)

(D) DAV for selected devices (Camstar route controlled)

(D) 100% Electrical testing

(D) 100% Visual Inspection

(D) Production Surveillance",4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,25,Z8K00018355_25
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Insufficient die attach material/Glue coverage,"Over load on bond head Z mechanic (During die bond, bond force is applied during bond overtravel)
[Machine_Z8K00018355]","(P) Procedural controls

(P) Machine setup / conversion

(P) Window parameter control and locked

(P) Preventive maintenance-Yearly / 6 monthly (Z8K00027466)",2,"(D) 100% Electrical testing

(D) DAV for selected devices (Camstar route controlled)

(D) 100% Visual Inspection

(D) Production Surveillance

(D) Machine prompt alarm and stop, 3008 (AD8312), 40360 (AD838)",4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,26,Z8K00018355_26
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Insufficient die attach material/Glue coverage,"Insufficient vacuum pressure & holding time
[Machine_Z8K00018355]","(P) Procedural controls

(P) Machine setup / conversion

(P) Pre-bond inspection",2,"(D) 100% Visual Inspection

(D) 100% Electrical testing

(D) Machine prompt alarm and stop, 8050, 8051, 8053, 8054, 8055, 8056, 8057, 8058 (AD8312), 110652, 110653, 110280, 110281, 110288, (AD838)

(D) Production Surveillance

(D) DAV for selected devices (Camstar route controlled)",4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,27,Z8K00018355_27
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]","8.0
7.0",8,Glue Bridging,"Epoxy glue lump on nozzle
[Method_Z8K00018355]",(P) Defined Showerhead cleaning lifespan,2,"(D) Safe release buyoff per machine conversion/ setup

(D) Pre-bond 100% detection",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,28,Z8K00018355_28
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]","8.0
7.0",8,Glue on lead,"Dispenser writer nozzle cleaning
[Method_Z8K00018355]",(P) Defined nozzle cleaning lifespan,2,"(D) Safe release buyoff per machine conversion/ setup

(D) Pre-bond 100% detection",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,29,Z8K00018355_29
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Glue on lead,"Epoxy glue lump on nozzle
[Method_Z8K00018355]",(P) Defined nozzle cleaning lifespan,2,"(D) Safe release buyoff per machine conversion/ setup

(D) Pre-bond 100% detection",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,30,Z8K00018355_30
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Glue on lead,"Glue from the showerhead cleaning paper touched on lead due to showerhead cleaning at machine
[Method_Z8K00018355]","(P) Showerhead cleaning at cleaning room, OJTI Z8K00004952

(P) Remove all leadframe from indexing track before cleaning/troubleshooting activity",2,"(D) Safe release buyoff per machine conversion/ setup

(D) DAV for selected devices (Camstar route controlled)",4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,31,Z8K00018355_31
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Glue on lead,"Manual handling of leadframe causing frame touching glue nozzle
[Method_Z8K00018355]",(P) to discard manual handled lead frame,1,(D) DAV for selected devices (Camstar route controlled),4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,32,Z8K00018355_32
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]","8.0
7.0",8,Glue on die,"Glue splash during glue change activity
[Method_Z8K00018355]","(P) Hard cover on wafer table

(P) Procedural controls",2,(D) Safe release buyoff,4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,33,Z8K00018355_33
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Glue on die,"Glue bubble burst out during die bonding due to incoming glue having defect
[Material_Z8K00018355]","(P) Visual Check on physical syringe condition

(P) Use glue handling jig when transferring glue from ACR to machine",1,"(D) Production Surveilliance

(D) 100% Electrical testing",6,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,34,Z8K00018355_34
